Dato for oprettelse;Dato for afslutning;Indbetalt;Rest;Total;Antal Passagerer;Betalt til klient;Klient rest;betingelser;Jnr.;Flynr.;Fly Selskab
11/07/2018 09.49;;0;22.904,12;22.904,12;7;0;16.275,00;;94568;6026;Primera Air Scandinavia A/S
11/07/2018 10.20;;0;2.667,79;2.667,79;1;0;1.450,00;;94620;6027;Scandinavian Airlines System
11/07/2018 10.22;;0;6.050,00;6.050,00;2;0;2.860,00;1;93163;6028;Norwegian Air Shuttle
11/07/2018 10.32;15/08/2018 08.50;5.962,00;0;5.962,00;2;4.650,00;0;;;6029;Norwegian Air Shuttle
11/07/2018 10.54;;0;7.076,25;7.076,25;2;0;4.650,00;;95324;6030;Turkish Airlines
11/07/2018 10.57;11/07/2018 12.53;0;4.460,00;4.460,00;2;0;3.460,00;;;6031;Jet Time A/S
11/07/2018 11.30;;0;19.728,74;19.728,74;6;0;13.950,00;;95325;6032;Primera Air Scandinavia A/S
11/07/2018 11.49;;0;8.872,82;8.872,82;4;0;5.800,00;;95326;6033;Norwegian Air Shuttle
11/07/2018 11.56;21/09/2018 09.07;14.919,40;0;14.919,40;5;11.625,00;0;;;6034;Jet Time A/S
11/07/2018 11.58;03/09/2018 15.50;3.702,03;122,07;3.824,10;2;2.900,00;0;;94569;6035;Croatia Airlines
11/07/2018 11.58;;5.588,00;3.337,00;8.925,00;3;5.588,00;1.387,00;;;6036;KLM Royal Dutch Airlines
11/07/2018 12.05;;0;10.369,39;10.369,39;2;0;6.970,00;;95327;6037;British Airways
11/07/2018 12.13;;0;4.952,00;4.952,00;2;0;2.900,00;;94570;6038;Ryan Air Service
11/07/2018 12.25;;0;13.352,49;13.352,49;4;0;9.300,00;;95328;6039;SunExpress
11/07/2018 13.11;;0;12.000,00;12.000,00;4;0;5.720,00;1;92995;6040;Norwegian Air Shuttle
11/07/2018 13.15;03/09/2018 15.57;1.860,00;104,92;1.964,92;1;1.450,00;0;;95028;6041;Atlantic Airways
11/07/2018 13.20;;0;6.053,94;6.053,94;2;0;4.650,00;;97326;6042;Primera Air Scandinavia A/S
11/07/2018 13.38;;0;10.364,37;10.364,37;3;0;6.975,00;;95329;6043;Eurowings Aviation GmbH
11/07/2018 13.41;;0;3.824,10;3.824,10;2;0;2.900,00;;94571;6044;Scandinavian Airlines System
11/07/2018 13.45;08/08/2018 11.12;3.725,00;0;3.725,00;2;2.900,00;0;;;6045;Scandinavian Airlines System
11/07/2018 13.53;;0;16.899,66;16.899,66;5;0;11.625,00;;94621;6046;Primera Air Scandinavia A/S
11/07/2018 14.02;;0;1.860,00;1.860,00;1;0;1.450,00;;98323;6047;Ryan Air Service
11/07/2018 14.43;18/09/2018 12.53;5.967,68;4.650,00;10.617,68;2;0;4.650,00;;96594;6048;Jet Time A/S
11/07/2018 14.52;;0;3.900,59;3.900,59;1;0;2.325,00;;94572;6049;Austrian Airlines
11/07/2018 14.59;;0;4.952,00;4.952,00;2;0;2.900,00;;94573;6050;Scandinavian Airlines System
11/07/2018 15.09;;0;10.369,39;10.369,39;2;0;6.970,00;;95330;6051;American Airlines
11/07/2018 15.34;;0;7.199,87;7.199,87;2;0;4.650,00;;94622;6052;Primera Air Scandinavia A/S
11/07/2018 15.36;20/08/2018 13.29;2.900,00;820;3.720,00;2;2.900,00;0;;;6053;EasyJet
11/07/2018 15.41;;0;10.506,81;10.506,81;2;0;6.970,00;;94574;6054;Icelandair
11/07/2018 15.51;27/09/2018 10.39;5.936,28;1.139,97;7.076,25;2;4.650,00;0;;95331;6055;DAT Danish Air Transport
11/07/2018 16.03;;5.967,04;3.776,03;9.743,07;2;5.967,04;1.002,96;;95332;6056;Jet Time A/S
11/07/2018 16.21;;0;12.745,91;12.745,91;5;0;8.650,00;;94575;6057;Eurowings Aviation GmbH
11/07/2018 16.28;;0;12.745,91;12.745,91;5;0;8.650,00;;94576;6058;Eurowings Aviation GmbH
11/07/2018 16.40;;11.922,24;6.888,83;18.811,07;4;11.922,24;2.017,76;;94577;6059;Jet Time A/S
11/07/2018 16.46;;0;4.842,15;4.842,15;2;0;2.900,00;;95660;6060;Vueling Airlines
11/07/2018 16.53;;0;3.080,25;3.080,25;1;0;2.325,00;;97650;6061;Swiss International Air Lines
11/07/2018 17.04;;5.961,12;3.894,42;9.855,54;2;5.961,12;1.008,88;;94578;6062;Jet Time A/S
11/07/2018 17.08;24/08/2018 13.30;0;3.720,00;3.720,00;2;0;2.900,00;;;6063;Ryan Air Service
11/07/2018 17.33;;0;3.900,59;3.900,59;1;0;2.325,00;;94579;6064;Swiss International Air Lines
11/07/2018 17.53;;0;5.589,62;5.589,62;1;0;3.485,00;;96009;6065;Air France
11/07/2018 17.58;13/08/2018 09.38;7.402,02;37,98;7.440,00;4;5.800,00;0;;;6066;EasyJet
11/07/2018 18.05;;0;5.703,41;5.703,41;1;0;3.485,00;;94580;6067;Lufthansa CityLine
11/07/2018 18.32;;0;15.710,00;15.710,00;7;0;7.560,00;1;93251;6068;Norwegian Air Shuttle
11/07/2018 19.12;;0;16.740,61;16.740,61;5;0;11.625,00;;95333;6069;Ryan Air Service
11/07/2018 19.34;;0;5.702,42;5.702,42;1;0;3.485,00;;94623;6070;Air Cairo
11/07/2018 19.38;08/08/2018 11.12;3.676,80;43,2;3.720,00;2;2.900,00;0;;;6071;EasyJet
11/07/2018 20.50;;0;12.753,53;12.753,53;6;0;8.700,00;;94624;6072;Ryan Air Service
11/07/2018 20.52;;0;5.702,42;5.702,42;1;0;3.485,00;;94625;6073;British Airways
11/07/2018 20.52;;0;7.199,87;7.199,87;2;0;4.650,00;;94626;6074;Primera Air Scandinavia A/S
11/07/2018 21.13;13/08/2018 09.38;1.813,01;46,99;1.860,00;1;1.450,00;0;;;6075;EasyJet
11/07/2018 21.27;;11.922,24;6.888,83;18.811,07;4;11.922,24;2.017,76;;94581;6076;Jet Time A/S
11/07/2018 21.31;;0;1.962,05;1.962,05;1;0;1.450,00;;94482;6077;Lufthansa
11/07/2018 21.40;;0;5.580,00;5.580,00;3;0;4.350,00;;;6078;Croatia Airlines
11/07/2018 21.40;;0;16.902,95;16.902,95;5;0;11.625,00;;94582;6079;Primera Air Scandinavia A/S
11/07/2018 22.48;08/08/2018 11.12;1.812,78;47,22;1.860,00;1;1.450,00;0;;;6080;EasyJet
11/07/2018 23.05;;0;10.499,80;10.499,80;3;0;6.975,00;;94627;6081;Primera Air Scandinavia A/S
11/07/2018 23.28;24/07/2018 19.13;0;9.300,00;9.300,00;5;0;7.250,00;;;6082;Air Berlin
11/07/2018 23.51;;0;19.732,67;19.732,67;6;0;13.950,00;;95258;6083;Wizz Air Hungary
12/07/2018 00.50;08/08/2018 11.12;1.812,56;47,44;1.860,00;1;1.450,00;0;;;6084;EasyJet
12/07/2018 00.50;;0;13.381,36;13.381,36;4;0;9.300,00;;95334;6085;SunExpress
12/07/2018 08.17;;3.725,00;2.844,14;6.569,14;2;3.725,00;925;;94583;6086;Scandinavian Airlines System
12/07/2018 08.31;;0;7.201,18;7.201,18;2;0;4.650,00;;94584;6087;Scandinavian Airlines System
12/07/2018 08.35;;8.941,68;5.391,62;14.333,30;3;8.941,68;1.513,32;;94585;6088;Jet Time A/S
12/07/2018 08.36;;0;7.085,43;7.085,43;2;0;4.650,00;;95661;6089;Primera Air Scandinavia A/S
12/07/2018 10.02;;0;28.749,53;28.749,53;6;0;20.910,00;;95662;6090;Thomas Cook Airlines
12/07/2018 11.06;;0;10.504,84;10.504,84;2;0;6.970,00;;94628;6091;Norwegian Air Shuttle
12/07/2018 12.11;13/07/2018 08.30;0;11.900,00;11.900,00;4;0;9.300,00;;;6092;Ryan International Airlines
12/07/2018 12.28;;0;4.572,88;4.572,88;1;0;3.485,00;;97651;6093;Swiss International Air Lines
12/07/2018 12.44;;0;28.749,53;28.749,53;6;0;20.910,00;;95663;6094;Swiss International Air Lines
12/07/2018 13.05;26/09/2018 10.27;0;2.775,59;2.775,59;1;0;1.450,00;;94320;6095;EasyJet
12/07/2018 13.27;;0;2.775,59;2.775,59;1;0;1.450,00;;94629;6096;Primera Air Scandinavia A/S
12/07/2018 13.57;;0;5.702,42;5.702,42;1;0;3.485,00;;94630;6097;Air France
12/07/2018 14.08;;0;7.199,87;7.199,87;2;0;4.650,00;;94631;6098;Norwegian Air Shuttle
12/07/2018 14.17;;0;4.951,18;4.951,18;2;0;2.900,00;;94632;6099;Primera Air Scandinavia A/S
12/07/2018 14.31;;0;3.075,00;3.075,00;1;0;1.430,00;1;93165;6100;Norwegian Air Shuttle
12/07/2018 15.23;;0;7.199,87;7.199,87;2;0;4.650,00;;94633;6101;Primera Air Scandinavia A/S
12/07/2018 15.39;;0;13.499,73;13.499,73;4;0;9.300,00;;94634;6102;Primera Air Scandinavia A/S
12/07/2018 15.45;;0;8.930,00;8.930,00;2;0;6.970,00;;;6103;SAS
12/07/2018 16.34;;0;7.440,00;7.440,00;4;0;5.800,00;;;6104;Scandinavian Airlines System
12/07/2018 16.52;08/08/2018 11.12;1.862,50;0;1.862,50;1;1.450,00;0;;;6105;Scandinavian Airlines System
12/07/2018 18.44;28/08/2018 09.46;8.925,00;0;8.925,00;3;6.975,00;0;;;6106;Norwegian Air Shuttle
12/07/2018 19.25;;0;2.671,49;2.671,49;1;0;1.450,00;;95520;6107;Scandinavian Airlines System
12/07/2018 19.25;;5.967,04;38.682,96;44.650,00;10;5.967,04;28.882,96;;;6108;Jet Time A/S
12/07/2018 19.57;;0;3.823,28;3.823,28;2;0;2.900,00;;94473;6109;Lufthansa
12/07/2018 20.05;03/09/2018 15.55;5.935,24;120,01;6.055,25;2;4.650,00;0;;94635;6110;Norwegian Air Shuttle
12/07/2018 20.47;01/09/2018 13.16;0;3.823,28;3.823,28;2;0;2.900,00;;94636;6111;Scandinavian Airlines System
12/07/2018 20.58;;0;3.899,93;3.899,93;1;0;2.325,00;;94637;6112;Vueling Airlines
12/07/2018 21.00;;0;19.899,60;19.899,60;6;0;13.950,00;;94638;6113;Primera Air Scandinavia A/S
12/07/2018 21.23;;0;13.499,73;13.499,73;4;0;9.300,00;;94639;6114;Ryan Air Service
12/07/2018 21.30;;0;4.951,18;4.951,18;2;0;2.900,00;;94640;6115;Air France
12/07/2018 21.46;;0;13.499,73;13.499,73;4;0;9.300,00;;94641;6116;Primera Air Scandinavia A/S
12/07/2018 21.50;;0;7.199,87;7.199,87;2;0;4.650,00;;93228;6117;Norwegian Air Shuttle
12/07/2018 21.56;;0;4.565,00;4.565,00;1;0;2.175,00;1;93144;6118;Air Greenland
12/07/2018 22.02;;0;4.565,00;4.565,00;1;0;3.485,00;;93227;6119;Norwegian Air Shuttle
12/07/2018 22.26;;0;4.835,59;4.835,59;2;0;2.900,00;;94642;6120;Scandinavian Airlines System
12/07/2018 22.37;;11.925,44;6.884,30;18.809,74;4;11.925,44;2.014,56;;94643;6121;Jet Time A/S
12/07/2018 22.43;;0;3.899,93;3.899,93;1;0;2.325,00;;94644;6122;Austrian Airlines
12/07/2018 22.46;;0;2.667,79;2.667,79;1;0;1.450,00;;94645;6123;Scandinavian Airlines System
12/07/2018 22.56;;0;3.899,93;3.899,93;1;0;2.325,00;;94646;6124;Austrian Airlines
12/07/2018 23.25;15/08/2018 08.50;2.981,00;0;2.981,00;1;2.325,00;0;;;6125;Norwegian Air Shuttle
12/07/2018 23.28;03/08/2018 10.09;2.942,14;32,86;2.975,00;1;2.325,00;0;;;6126;Norwegian Air Shuttle
13/07/2018 00.42;23/07/2018 18.43;0;5.580,00;5.580,00;3;0;4.350,00;;;6127;Atlantic Airways
13/07/2018 02.58;;0;3.785,50;3.785,50;1;0;2.325,00;;94824;6128;Air Greenland
13/07/2018 03.12;;0;5.583,71;5.583,71;1;0;3.485,00;;94647;6129;Air Greenland
13/07/2018 08.46;;0;1.860,00;1.860,00;1;0;1.450,00;;;6130;Eurowings Aviation GmbH
13/07/2018 09.13;;2.981,36;2.096,07;5.077,43;1;2.981,36;503,64;;94648;6131;Jet Time A/S
13/07/2018 10.10;07/09/2018 13.39;0;13.515,68;13.515,68;3;0;10.455,00;;95665;6132;Delta Air Lines Inc.
13/07/2018 10.15;;0;10.877,94;10.877,94;5;0;7.250,00;;94649;6133;Croatia Airlines
13/07/2018 10.40;;5.962,72;8.694,57;14.657,29;3;5.962,72;4.492,28;;94650;6134;Jet Time A/S
13/07/2018 10.40;03/09/2018 15.33;3.674,00;46;3.720,00;2;2.900,00;0;;94273;6135;Norwegian Air Shuttle
13/07/2018 10.42;15/08/2018 08.50;3.726,00;0;3.726,00;2;2.900,00;0;;;6136;Norwegian Air Shuttle
13/07/2018 10.59;03/08/2018 10.09;1.860,00;0;1.860,00;1;1.450,00;0;;;6137;Norwegian Air Shuttle
13/07/2018 11.10;;0;7.199,87;7.199,87;2;0;4.650,00;;94651;6138;Primera Air Scandinavia A/S
13/07/2018 11.28;;0;22.899,53;22.899,53;7;0;16.275,00;;94652;6139;Primera Air Scandinavia A/S
13/07/2018 11.37;;0;7.078,87;7.078,87;2;0;4.650,00;;95078;6140;Primera Air Scandinavia A/S
13/07/2018 12.03;;0;3.820,00;3.820,00;2;0;2.900,00;;94272;6141;Norwegian Air Shuttle
13/07/2018 12.36;;0;24.233,32;24.233,32;5;0;17.425,00;;95079;6142;Air France
13/07/2018 12.37;;0;5.585,68;5.585,68;1;0;3.485,00;;95259;6143;Air Greenland
13/07/2018 12.43;;0;7.080,18;7.080,18;2;0;4.650,00;;94947;6144;TAP Portugal
13/07/2018 12.44;24/09/2018 09.12;14.922,00;0;14.922,00;5;11.625,00;0;;;6145;Atlantic Airways
13/07/2018 12.56;;0;5.585,68;5.585,68;1;0;3.485,00;;95260;6146;Air Greenland
13/07/2018 13.09;;0;1.860,00;1.860,00;1;0;1.450,00;;;6147;Scandinavian Airlines System
13/07/2018 13.26;;0;6.707,07;6.707,07;3;0;4.350,00;;95080;6148;Swiss International Air Lines
13/07/2018 13.33;21/08/2018 11.26;0;3.720,00;3.720,00;2;0;2.900,00;;;6149;Atlantic Airways
13/07/2018 13.43;;0;4.947,07;4.947,07;2;0;2.900,00;;94514;6150;Lufthansa
13/07/2018 14.02;;0;5.585,68;5.585,68;1;0;3.485,00;;95261;6151;Singapore Airlines
13/07/2018 14.29;;0;10.368,30;10.368,30;3;0;6.975,00;;95081;6152;Ryan Air Service
13/07/2018 14.40;08/08/2018 11.12;3.625,12;94,88;3.720,00;2;2.900,00;0;;;6153;EasyJet
13/07/2018 14.47;;0;10.371,36;10.371,36;2;0;6.970,00;;95262;6154;British Airways
13/07/2018 15.14;;0;2.669,02;2.669,02;1;0;1.450,00;;95082;6155;Ryan Air Service
13/07/2018 16.46;;0;4.837,23;4.837,23;2;0;2.900,00;;95263;6156;Delta Air Lines Inc.
13/07/2018 17.52;;0;7.078,87;7.078,87;2;0;4.650,00;;95083;6157;Primera Air Scandinavia A/S
13/07/2018 18.41;;0;2.669,02;2.669,02;1;0;1.450,00;;95084;6158;Scandinavian Airlines System
13/07/2018 19.38;;14.908,80;8.555,46;23.464,26;5;14.908,80;2.516,20;;94861;6159;Jet Time A/S
13/07/2018 19.56;27/09/2018 10.39;5.917,36;2.427,56;8.344,92;2;4.650,00;0;;95264;6160;TAP Portugal
13/07/2018 20.17;;0;5.950,00;5.950,00;2;0;4.650,00;;;6161;Jet Time A/S
13/07/2018 20.34;13/09/2018 13.38;2.669,44;1.450,00;4.119,44;1;0;1.450,00;;94948;6162;Atlantic Airways
13/07/2018 20.35;;2.981,76;1.991,09;4.972,85;1;2.981,76;503,24;;94862;6163;Jet Time A/S
13/07/2018 21.45;;0;13.360,36;13.360,36;4;0;9.300,00;;94949;6164;Primera Air Scandinavia A/S
13/07/2018 22.11;12/09/2018 09.19;3.720,00;0;3.720,00;2;2.900,00;0;;;6165;Atlantic Airways
13/07/2018 22.25;;8.935,34;5.324,65;14.259,99;3;8.935,34;1.519,66;;95086;6166;Norwegian Air Shuttle
14/07/2018 03.32;;0;3.820,00;3.820,00;2;0;1.815,00;1;93239;6167;Norwegian Air Shuttle
14/07/2018 03.39;;0;17.860,00;17.860,00;4;0;13.940,00;;;6168;British Airways
14/07/2018 04.44;;0;4.565,00;4.565,00;1;0;3.485,00;;93250;6169;Norwegian Air Shuttle
14/07/2018 06.51;27/08/2018 14.06;0;11.900,00;11.900,00;4;0;9.300,00;;;6170;Atlantic Airways
14/07/2018 08.30;;0;6.050,00;6.050,00;2;0;2.860,00;1;93283;6171;Norwegian Air Shuttle
14/07/2018 09.31;;0;8.876,10;8.876,10;4;0;5.800,00;;95087;6173;Scandinavian Airlines System
14/07/2018 09.44;;0;10.370,27;10.370,27;3;0;6.975,00;;94951;6174;Small Planet Airlines
14/07/2018 09.53;28/08/2018 09.56;1.862,00;0;1.862,00;1;1.450,00;0;;95088;6175;Scandinavian Airlines System
14/07/2018 10.51;;0;16.743,89;16.743,89;5;0;11.625,00;;95266;6176;Eurowings Aviation GmbH
14/07/2018 11.25;07/09/2018 13.40;6.267,28;1.335,28;7.602,56;3;6.267,28;0;;94864;6177;Jet Time A/S
14/07/2018 11.42;13/08/2018 09.38;5.547,31;32,69;5.580,00;3;4.350,00;0;;;6178;EasyJet
14/07/2018 11.44;03/09/2018 15.34;9.400,00;0;9.400,00;5;7.250,00;0;;94275;6179;Norwegian Air Shuttle
14/07/2018 13.35;15/08/2018 08.50;9.316,00;0;9.316,00;5;7.250,00;0;;;6180;Norwegian Air Shuttle
14/07/2018 13.58;;0;10.385,15;10.385,15;2;0;6.970,00;;95521;6181;Austrian Airlines
14/07/2018 14.07;;0;12.614,15;12.614,15;6;0;8.700,00;;95089;6182;Austrian Airlines
14/07/2018 15.00;;0;2.669,44;2.669,44;1;0;1.450,00;;94952;6183;Scandinavian Airlines System
14/07/2018 15.36;;0;7.080,18;7.080,18;2;0;4.650,00;;94953;6184;Ryan Air Service
14/07/2018 15.50;18/07/2018 13.33;0;3.720,00;3.720,00;2;0;2.900,00;;;6185;BRUSSELS AIRLINES
14/07/2018 16.04;03/08/2018 10.09;3.724,61;0;3.724,61;2;2.900,00;0;;;6186;BRUSSELS AIRLINES
14/07/2018 16.31;;0;17.960,00;17.960,00;4;0;8.700,00;1;93241;6187;Norwegian Air Shuttle
14/07/2018 16.44;03/09/2018 15.48;5.960,00;90;6.050,00;2;4.650,00;0;;94357;6188;Scandinavian Airlines System
14/07/2018 16.50;;0;17.850,00;17.850,00;6;0;13.950,00;;;6189;LOT Polish Airlines
14/07/2018 17.12;;0;2.668,61;2.668,61;1;0;1.450,00;;95268;6190;Croatia Airlines
14/07/2018 17.31;;0;4.838,05;4.838,05;2;0;2.900,00;;95090;6191;Scandinavian Airlines System
14/07/2018 17.47;;0;7.078,87;7.078,87;2;0;4.650,00;;95091;6192;Ryan Air Service
14/07/2018 18.08;03/09/2018 13.15;0;8.930,00;8.930,00;2;0;6.970,00;;;6193;Juneyao Airlines
14/07/2018 19.18;;7.404,20;10.455,80;17.860,00;4;7.404,20;6.535,80;;;6194;EasyJet
14/07/2018 19.59;;0;7.080,18;7.080,18;2;0;4.650,00;;94954;6195;Vueling Airlines
14/07/2018 20.12;;0;5.950,00;5.950,00;2;0;4.650,00;;;6196;SunExpress
14/07/2018 20.43;03/08/2018 10.09;4.443,07;21,93;4.465,00;1;3.485,00;0;;;6197;Norwegian Air Shuttle
14/07/2018 21.08;;0;10.368,30;10.368,30;3;0;6.975,00;;95092;6198;Norwegian Air Shuttle
14/07/2018 21.10;;0;13.357,74;13.357,74;4;0;9.300,00;;95093;6199;Norwegian Air Shuttle
14/07/2018 21.38;;0;4.837,23;4.837,23;2;0;2.900,00;;95270;6200;Atlantic Airways
14/07/2018 21.43;;0;6.707,07;6.707,07;3;0;4.350,00;;95094;6201;Scandinavian Airlines System
14/07/2018 22.31;;0;3.820,00;3.820,00;2;0;1.815,00;1;93244;6202;Norwegian Air Shuttle
14/07/2018 22.33;;0;19.738,78;19.738,78;4;0;13.940,00;;95335;6203;Air France
14/07/2018 22.56;30/08/2018 08.36;1.860,00;0;1.860,00;1;1.450,00;0;;;6204;Atlantic Airways
15/07/2018 07.51;;0;3.720,00;3.720,00;2;0;2.900,00;;;6205;EasyJet
15/07/2018 07.52;;0;10.368,30;10.368,30;3;0;6.975,00;;95095;6206;Scandinavian Airlines System
15/07/2018 08.58;;0;15.259,99;15.259,99;3;0;10.455,00;;95096;6207;Norwegian Air Shuttle
15/07/2018 09.31;;0;3.788,78;3.788,78;1;0;2.325,00;;95271;6208;Swiss International Air Lines
15/07/2018 09.54;21/09/2018 09.07;8.951,64;0;8.951,64;3;6.975,00;0;;97652;6209;Jet Time A/S
15/07/2018 11.20;;0;10.371,36;10.371,36;2;0;6.970,00;;95272;6210;Austrian Airlines
15/07/2018 11.26;;0;2.668,61;2.668,61;1;0;1.450,00;;95273;6211;Scandinavian Airlines System
15/07/2018 11.28;16/07/2018 14.45;0;7.440,00;7.440,00;4;0;5.800,00;;;6212;EasyJet
15/07/2018 11.45;28/08/2018 09.56;7.448,00;0;7.448,00;4;5.800,00;0;;94865;6213;Scandinavian Airlines System
15/07/2018 11.50;16/07/2018 17.25;0;5.950,00;5.950,00;2;0;4.650,00;;;6214;Primera Air Scandinavia A/S
15/07/2018 11.58;;0;10.370,27;10.370,27;3;0;6.975,00;;94955;6215;Primera Air Scandinavia A/S
15/07/2018 12.07;;0;13.355,11;13.355,11;4;0;9.300,00;;95274;6216;Air Europa
15/07/2018 12.53;;0;7.078,87;7.078,87;2;0;4.650,00;;95097;6217;Air Europa
15/07/2018 12.54;;0;3.720,00;3.720,00;2;0;2.900,00;;;6218;EasyJet
15/07/2018 13.29;16/08/2018 17.54;0;5.950,00;5.950,00;2;0;4.650,00;;;6219;SunExpress Germany
15/07/2018 14.14;;0;2.669,02;2.669,02;1;0;1.450,00;;95099;6220;Scandinavian Airlines System
15/07/2018 14.18;;0;7.540,00;7.540,00;4;0;5.800,00;;93079;6221;EasyJet
15/07/2018 14.19;;8.951,64;4.443,36;13.395,00;3;8.951,64;1.503,36;;;6222;Jet Time A/S
15/07/2018 14.21;;0;4.838,87;4.838,87;2;0;2.900,00;;94957;6223;EasyJet
15/07/2018 14.33;;0;13.357,74;13.357,74;4;0;9.300,00;;95100;6224;Air Europa
15/07/2018 14.46;;0;2.669,02;2.669,02;1;0;1.450,00;;95101;6225;Scandinavian Airlines System
15/07/2018 15.03;;0;2.660,00;2.660,00;1;0;1.450,00;;93078;6226;Atlantic Airways
15/07/2018 15.07;;0;5.586,66;5.586,66;1;0;3.485,00;;95102;6227;Air France
15/07/2018 15.19;;8.944,08;4.897,49;13.841,57;7;8.944,08;1.205,92;;94866;6228;Jet Time A/S
15/07/2018 15.23;;0;4.947,07;4.947,07;2;0;2.900,00;;94310;6229;EasyJet
15/07/2018 15.27;17/07/2018 16.47;0;5.950,00;5.950,00;2;0;4.650,00;;;6230;Jet Time A/S
15/07/2018 15.35;17/07/2018 16.47;0;5.950,00;5.950,00;2;0;4.650,00;;;6231;Jet Time A/S
15/07/2018 15.37;;0;13.360,36;13.360,36;4;0;9.300,00;;94958;6232;Primera Air Scandinavia A/S
15/07/2018 15.44;;0;7.080,18;7.080,18;2;0;4.650,00;;94959;6233;Primera Air Scandinavia A/S
15/07/2018 15.52;17/07/2018 16.47;0;5.950,00;5.950,00;2;0;4.650,00;;;6234;Jet Time A/S
15/07/2018 16.25;28/08/2018 09.55;5.963,60;0;5.963,60;2;4.650,00;0;;;6235;Jet Time A/S
15/07/2018 17.04;;0;3.797,96;3.797,96;1;0;2.325,00;;96476;6236;Wizz Air Hungary
15/07/2018 17.09;;0;9.025,00;9.025,00;3;0;6.975,00;;93233;6237;Norwegian Air Shuttle
15/07/2018 17.30;14/08/2018 09.27;3.676,95;43,05;3.720,00;2;2.900,00;0;;;6238;EasyJet
15/07/2018 17.59;13/08/2018 09.38;1.813,14;46,86;1.860,00;1;1.450,00;0;;;6239;EasyJet
15/07/2018 18.06;17/09/2018 14.45;5.967,68;0;5.967,68;2;4.650,00;0;;96948;6240;Jet Time A/S
15/07/2018 18.12;01/08/2018 11.36;0;9.300,00;9.300,00;5;0;7.250,00;;;6241;Atlantic Airways
15/07/2018 18.17;03/08/2018 10.09;4.465,00;0;4.465,00;1;3.485,00;0;;;6242;Norwegian Air Shuttle
15/07/2018 18.49;28/08/2018 11.23;0;1.860,00;1.860,00;1;0;1.450,00;;;6243;Atlantic Airways
15/07/2018 19.04;10/08/2018 09.38;5.962,72;0;5.962,72;2;4.650,00;0;;;6244;Jet Time A/S
15/07/2018 19.16;;0;7.077,56;7.077,56;2;0;4.650,00;;95275;6245;Air Europa
15/07/2018 19.51;;0;2.669,02;2.669,02;1;0;1.450,00;;95103;6246;Ryan Air Service
15/07/2018 20.09;;0;7.077,56;7.077,56;2;0;4.650,00;;95276;6247;Wizz Air Hungary
15/07/2018 20.13;;0;3.789,43;3.789,43;1;0;2.325,00;;95104;6248;Scandinavian Airlines System
15/07/2018 20.44;16/07/2018 15.59;0;7.440,00;7.440,00;4;0;5.800,00;;;6249;Scandinavian Airlines System
15/07/2018 20.59;;0;13.360,36;13.360,36;4;0;9.300,00;;94960;6250;Vueling Airlines
15/07/2018 21.06;;0;10.370,27;10.370,27;3;0;6.975,00;;94961;6251;Primera Air Scandinavia A/S
15/07/2018 21.26;27/08/2018 09.19;17.891,00;0;17.891,00;4;13.940,00;0;;;6252;KLM Royal Dutch Airlines
15/07/2018 21.32;;0;15.265,90;15.265,90;3;0;10.455,00;;94867;6253;Lufthansa
15/07/2018 21.47;;0;10.370,27;10.370,27;3;0;6.975,00;;94962;6254;Primera Air Scandinavia A/S
15/07/2018 22.04;28/08/2018 09.55;1.862,00;0;1.862,00;1;1.450,00;0;;;6255;Scandinavian Airlines System
15/07/2018 22.04;10/08/2018 09.38;5.962,72;0;5.962,72;2;3.460,00;0;;;6256;Jet Time A/S
15/07/2018 22.16;15/08/2018 08.50;1.863,00;0;1.863,00;1;1.450,00;0;;;6257;Norwegian Air Shuttle
15/07/2018 22.20;15/08/2018 08.50;1.863,00;0;1.863,00;1;1.450,00;0;;;6258;Norwegian Air Shuttle
15/07/2018 22.25;;0;7.080,18;7.080,18;2;0;4.650,00;;94963;6259;Primera Air Scandinavia A/S
15/07/2018 23.32;;0;3.788,78;3.788,78;1;0;2.325,00;;95277;6260;Air Serbia
15/07/2018 23.58;03/08/2018 13.39;0;17.950,00;17.950,00;6;0;13.950,00;;93229;6261;Norwegian Air Shuttle
16/07/2018 00.09;;0;2.669,44;2.669,44;1;0;1.450,00;;94964;6262;Scandinavian Airlines System
16/07/2018 00.27;;0;26.790,00;26.790,00;6;0;20.910,00;;;6263;British Airways
16/07/2018 02.04;;0;13.360,36;13.360,36;4;0;9.300,00;;94965;6264;Ryan Air Service
16/07/2018 02.13;;0;13.355,11;13.355,11;4;0;9.300,00;;95279;6265;Air Greenland
16/07/2018 06.05;;0;10.372,24;10.372,24;3;0;6.975,00;;94868;6266;Wizz Air Hungary
16/07/2018 06.48;;0;2.669,44;2.669,44;1;0;1.450,00;;94966;6267;Norwegian Air Shuttle
16/07/2018 07.52;;0;22.799,53;22.799,53;7;0;16.275,00;;94869;6268;Air France
16/07/2018 08.56;31/07/2018 08.50;4.423,00;42;4.465,00;1;3.485,00;0;;;6269;Lufthansa
16/07/2018 09.03;;0;7.195,93;7.195,93;2;0;4.650,00;;93230;6270;Norwegian Air Shuttle
16/07/2018 09.09;;0;2.669,02;2.669,02;1;0;1.450,00;;95105;6271;EasyJet
16/07/2018 09.12;;0;7.078,87;7.078,87;2;0;4.650,00;;95106;6272;Primera Air Scandinavia A/S
